x y
22.80707 65.82735
22.73998 65.73927
22.40291 65.81833
22.32649 65.6155
22.17917 65.4723
21.97348 65.47776
21.87388 65.2697
21.67996 65.31863
21.51446 65.07439
21.14826 64.8016
21.25435 64.62612
21.46357 64.47489
21.45901 64.40192
21.02893 64.16659
20.55322 63.74765
20.02717 63.64555
19.74354 63.48474
19.70873 63.46501
19.64558 63.48474
19.51858 63.52443
19.49435 63.48474
19.46675 63.43952
19.28647 63.46972
19.22948 63.39191
19.16089 63.29827
18.99661 63.21653
18.74029 63.2663
18.75198 63.1898
18.53297 63.08426
18.39254 62.86501
18.18912 62.7815
18.05769 62.61761
17.47417 62.35942
17.56763 62.21851
17.4893 62.13695
17.35677 61.85952
17.4858 61.67115
17.42927 61.63804
17.25992 61.68796
17.11399 61.54367
17.15339787901475 61.25633252036101
10.27 60.17
6.66 58.19
6.749480952565207 58.06531783186109
6.65345 58.08484
6.64834 58.19723
6.43841 58.29073
5.70167 58.54629
5.53115 58.71914
5.62228 59.02515
5.7906 59.14605
5.81534 59.03108
5.91549 59.00676
5.96119 59.26804
6.08677 59.31452
5.89839 59.4313
5.83865 59.3484
5.60092 59.29201
5.45903 59.19268
5.34943 59.22138
5.21135 59.15911
5.20559 59.36862
5.30288 59.48117
5.30058 59.59076
5.51342 59.71186
5.51421 59.57489
5.45723 59.49801
5.55066 59.55561
5.59653 59.66008
5.82013 59.64543
5.71736 59.8159
6.04612 60.05849
6.05935 60.17967
5.69144 59.97645
5.4206 59.74348
5.22862 59.65005
5.15707 59.67511
5.13867 59.89146
5.68914 60.13278
5.59645 60.20855
5.41631 60.17265
5.25759 60.21207
5.20416 60.05198
5.01783 60.18497
4.87224 60.49323
4.96753 60.53935
4.89426 60.74241
5.1403 60.84025
4.99382 60.9435
5.22929 61.08936
4.95522 61.20141
4.98565 61.35967
5.12418 61.55731
4.99456 61.8847
5.22997 62.08392
5.49274 62.01833
5.42783 62.17491
5.52578 62.23708
5.54427 62.37707
6.3481 62.3461
6.34569 62.39904
6.15149 62.46306
6.24016 62.61661
6.6626 62.64725
6.97781 62.92099
7.55436 63.07938
8.13222 63.07149
8.0956 63.21976
8.65057 63.39191
8.75511 63.42434
8.40525 63.48474
8.53797 63.61623
8.5154 63.71598
8.65533 63.8303
8.79583 63.79227
8.89803 63.66398
9.11584 63.63485
9.22336 63.52915
9.73 63.61739
9.88944 63.48474
10.00101 63.39191
10.05195 63.39191
10.25026 63.44167
10.85359 63.43909
10.95463 63.71694
10.16866 63.53166
9.97052 63.51624
9.63991 63.75566
9.70537 63.83579
9.94754 63.92073
9.95653 64.04901
10.12134 64.16659
10.16185 64.19549
10.2275 64.24232
10.25413 64.27114
10.42802 64.31746
10.5104 64.42929
11.14485 64.6733
10.84204 64.8411
10.86324 64.93445
11.51369 64.943
11.69793 65.08015
11.93876 65.14892
11.96475 65.14083
11.96868 65.12278
11.92536 65.09711
12.04611 65.06245
12.12298 65.44358
12.54047 65.81596
12.47196 66.01501
12.50436 66.11284
12.719 66.11026
12.9981 66.21374
13.10823 66.45476
13.32458 66.71098
14.08044 67.11181
14.36298 67.2056
14.76919 67.47967
15.14975 67.57447
15.27554 67.69079
15.23169 67.73663
14.90822 67.70664
14.85047 67.80508
14.90934 67.89498
15.42643 67.93543
15.50659 68.1017
15.93535 68.19392
16.21385 68.02024
16.29383 68.31633
16.2585 68.3828
16.01629 68.43402
15.21978 68.27009
14.83866 68.25143
14.71495 68.16916
14.58691 68.22422
14.16891 68.21049
13.66343 68.12463
13.59037 68.15476
13.6059 68.21637
13.84726 68.30607
14.3126 68.32096
15.24184 68.55063
15.46321 68.72574
15.59412 69.06883
16.04344 69.26178
16.05937 69.18548
15.85679 68.98577
16.00557 68.75554
16.41 68.95491
16.73746 68.73416
17.4104 68.88663
17.45626 69.08062
17.14417 69.05811
16.98424 69.10321
17.08107 69.37102
17.35303 69.48765
17.73267 69.534
18.40122 69.41765
18.25971 69.65422
18.87814 70.09936
19.18432 70.1421
19.47503 70.03733
19.75499 69.7394
20.21478 69.86275
20.33155 69.57233
20.68257 69.8987
20.55357 70.07755
20.59601 70.14893
20.80948 70.11098
21.04288 69.90624
21.34469 69.96406
21.76226 69.956
21.44197 70.2013
21.75471 70.31449
22.36021 70.2675
23.35047 70.54852
23.63057 70.52861
23.81598 70.6713
24.22104 70.5981
24.38205 70.66609
24.45762 70.8289
24.64748 70.94512
25.19183 70.902
25.52785 71.11457
25.86 71.07795
25.84711 70.93668
25.19736 70.47135
25.11515 70.28435
25.20623 70.23198
26.48859 70.86465
26.62439 70.81079
26.64966 70.50756
26.845 70.4862
27.26319 70.78085
27.37523 70.99151
27.87487 71.07557
28.26703 70.93677
28.15939 70.73445
28.25782 70.54206
28.41429 70.5751
28.75246 70.79731
28.99985 70.82671
29.43812 70.71015
30.08218 70.65922
30.83736 70.42903
30.89351 70.35764
30.77967 70.29245
29.46226 70.02359
29.81851 69.8803
30.86536 69.75959
30.91979 69.60898
30.83672 69.54677
30.52939 69.54836
30.17128 69.65323
30.1594 69.54074
30.00391 69.43575
29.37253 69.31011
29.15476 69.07244
28.92968 69.0519
28.62465 68.93047
28.7303 68.83393
28.48866 68.53351
28.60195 68.29108
29.31099 68.06247
29.55923145725627 67.90517567864929
27.58 65.45
24.617357960964988 65.69326679499409
24.56247 65.72746
24.17591 65.77364
24.15513 65.81603
23.6762 65.81662
23.13252 65.73488
22.80707 65.82735
